state/territory,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
North Carolina North Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.80%,1.40%,2.20%,3.40%
North Dakota North Dakota,,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.50%,0.60%,1.00%,1.80%
Ohio Ohio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.40%,0.80%,1.20%,1.70%,2.50%
Oklahoma Oklahoma,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.60%,1.10%,1.50%,1.70%,2.50%
Oregon Oregon,0.00%,3.70%,5.40%,3.00%,3.10%,1.60%,1.00%,0.90%,0.60%,0.40%,0.50%,0.70%,1.30%,2.40%,3.20%,3.70%,5.10%
Pennsylvania Pennsylvania,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.50%,1.20%,1.80%,2.70%,3.90%
Rhode Island Rhode Island,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.40%,0.60%,1.80%,2.40%,2.90%,3.60%
South Carolina South Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.60%,0.90%,1.30%,1.90%
South Dakota South Dakota,0.00%,0.00%,0.20%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.40%,0.60%,0.90%,1.90%
Tennessee Tennessee,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.70%,1.00%,1.40%,2.10%
Texas Texas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.20%,0.80%,1.90%,2.80%,3.80%,5.50%
Utah Utah,0.00%,0.50%,0.30%,0.40%,0.40%,0.70%,0.70%,0.80%,0.50%,0.70%,0.60%,0.60%,1.00%,1.90%,2.40%,2.00%,3.60%
Vermont Vermont,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.60%,0.90%,1.30%,1.80%
Virginia Virginia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,1.20%,2.60%,3.80%,5.50%,7.20%
Washington (state) Washington,0.00%,1.00%,4.20%,1.00%,1.80%,1.40%,1.50%,1.50%,1.10%,0.70%,1.00%,1.30%,2.50%,4.30%,5.90%,7.20%,10.30%
West Virginia West Virginia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.40%,0.50%,0.70%,0.80%
Wisconsin Wisconsin,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.40%,1.10%,1.70%,2.30%,3.00%
Wyoming Wyoming,,1.60%,4.40%,0.70%,0.90%,1.30%,0.80%,0.50%,0.30%,0.20%,0.20%,0.30%,0.40%,0.60%,0.70%,0.80%,1.00%
Puerto Rico Puerto Rico,,,,,,,,,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%
