year,state,d_pct,d_momentum_1_cycle,d_momentum_2_cycle,aapi,black,hispanic,native_american,white,inflation,gdp_growth,previous_presidential_party,democratic_incumbent_run,republican_incumbent_running,previous_president_approval,previous_president_disapproval,previous_president_net_approval,d_pct_nat
1960,Alabama,0.5721951377354013,-0.017147160255524874,-0.03804939110929706,0,0.3,0.004,0,0.7062999999999999,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Arizona,0.4441488158945988,0.054732870815770385,0.013823266219548713,0.004,0.033,0.149,0.064,0.7123,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Arkansas,0.5382185770741096,0.004444263071847088,-0.011343302210364392,0.001,0.218,0.005,0,0.7907,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,California,0.4972529315661244,0.0530123817518231,0.0353687081895461,0.02,0.055999999999999994,0.091,0.002,0.807,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Colorado,0.45114215189303436,0.05022093380763715,0.029257708943257882,0.005,0.023,0.09,0.002,0.865,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Connecticut,0.5373065612968857,0.17463022753499136,0.04825143597749734,0.001,0.042,0.024,0,0.9357,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Delaware,0.5082081821568357,0.060710464129812625,0.013828732604828975,0.001,0.136,0.011000000000000001,0.001,0.8487,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Florida,0.48485405808664295,0.057561357369701416,0.017474400795803313,0.001,0.17800000000000002,0.066,0.001,0.7576999999999999,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Georgia,0.6256059800030009,-0.04500851252146898,-0.03549039733187148,0.001,0.285,0.006,0,0.7067,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Idaho,0.4621501081710767,0.07413777891695261,0.05869445739532703,0.004,0.002,0.026000000000000002,0.008,0.9673,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Illinois,0.5009330429503117,0.09727803792531631,0.0252586544080938,0.002,0.10300000000000001,0.033,0,0.8723000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Indiana,0.4476464621490798,0.04905978047264309,0.017007628343798847,0.001,0.057999999999999996,0.013000000000000001,0,0.9323,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Iowa,0.43251245535945754,0.024844173533854097,0.037143964218133846,0,0.009000000000000001,0.006,0.001,0.9840000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Kansas,0.3927956162463623,0.049516287705302586,0.04279134767700207,0.001,0.042,0.021,0.002,0.9367,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Kentucky,0.4640930507211449,0.009741959551111179,-0.018130107076410135,0,0.071,0.003,0,0.9243000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Louisiana,0.6381433107897462,0.2123723134144181,0.054460917181016866,0.001,0.319,0.019,0.001,0.667,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Maine,0.4295238840402402,0.13817827151159412,0.04559925503217449,0.001,0.003,0.004,0.002,0.993,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Maryland,0.5361350684988619,0.1364862238041064,0.04714988137899964,0.002,0.16699999999999998,0.013999999999999999,0,0.8137000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Massachusetts,0.6035794935233392,0.19861013134613398,0.07376083079475249,0.002,0.022000000000000002,0.011000000000000001,0,0.9647,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Michigan,0.5101038577596436,0.0676512501030126,0.03388465250074435,0.001,0.092,0.013999999999999999,0.001,0.8996999999999999,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Minnesota,0.5071587048915107,0.04522533580186783,0.03178459000671213,0.001,0.006999999999999999,0.006,0.005,0.9813,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Mississippi,0.5956476091533232,-0.10859202083551611,-0.00435948836423472,0.001,0.42,0.004,0.001,0.586,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Missouri,0.5025795819112893,0.0014925791250260945,0.005206538209462125,0.001,0.09,0.009000000000000001,0,0.902,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Montana,0.4874427243687033,0.05879069299366685,0.04226047533385072,0.002,0.002,0.011000000000000001,0.031,0.9520000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
1960,Nebraska,0.3792919531230886,0.03443622562684423,0.03541492974856658,0.001,0.021,0.013999999999999999,0.004,0.9620000000000001,0.08142493638676829,0.11926714892959889,Republican,No,No,60.1,26.6,33.5,0.500825614067064
